date,date2,Overall UK ONS CPIH,Overall UK Micro CPI,London,South East,South West,East of England,East Midlands,West Midlands,Yorkshire and the Humber,North West,North East,Wales,Scotland,Northern Ireland
199704,01/04/1997,2.1,1.454504934,1.545795738,1.35186979,1.091055976,2.035109484,1.008067195,1.896057681,1.639011525,1.404692214,1.456499639,1.272847898,1.891278133,0.8054167
199705,01/05/1997,2.1,1.55185613,1.560504945,1.324955855,1.284049566,1.947806315,1.211720476,2.215119829,1.966931522,1.59397679,1.554295756,1.459182842,1.904302095,0.486532883
199706,01/06/1997,2.1,1.557935848,1.709601846,1.547472272,1.230202442,1.864354956,1.406539849,2.131602646,1.868455425,1.533986553,1.47323965,1.294558727,1.885061034,0.663282904
199707,01/07/1997,2.4,1.744841272,1.988275659,1.75792969,1.614128959,2.193429362,1.563634907,2.356697456,1.931706309,1.634546412,1.480969445,1.64332952,1.943801883,1.286925677
199708,01/08/1997,2.3,1.93573148,2.032284617,1.966483704,1.756902377,2.344928251,1.63651549,2.55238797,2.20986587,1.756599265,1.596259407,1.608097563,2.278552444,1.722082103
199709,01/09/1997,2.2,1.858472352,1.901120988,1.862607012,1.737011875,2.092016807,1.470590617,2.520229583,2.070738754,1.762779258,1.825966866,1.465187086,2.114722281,1.575961039
199710,01/10/1997,2.2,1.8424791,1.854559327,1.726309395,1.76187023,2.235944757,1.674210846,2.591606206,2.1075913,1.752112992,1.652444041,1.739609013,2.022845715,1.468232405
199711,01/11/1997,2.1,1.803630029,1.751922603,1.829023479,1.614221763,2.202825486,1.578958703,2.321350002,2.023315592,1.671656513,1.704608334,1.495973892,2.073043043,1.278002503
199712,01/12/1997,1.9,1.522040707,1.457981344,1.578555732,1.370514549,1.657228983,1.295118495,1.903591518,1.71073052,1.432912966,1.456800128,1.260576853,2.011089575,0.908754174
199801,01/01/1998,1.8,1.191154729,1.196790575,1.240376741,1.220491297,1.311227498,0.882563841,1.56528987,1.250047373,1.161568983,0.896175401,0.914657335,1.403217095,0.913201117
199802,01/02/1998,1.8,1.587444463,1.464799756,1.701560077,1.885575502,1.266475304,1.312115824,1.504835966,1.838007202,1.39421105,1.305663642,1.480751237,1.544165425,1.601706432
199803,01/03/1998,1.9,1.658997457,1.569312444,1.678241195,1.742704828,1.442418263,1.539590405,1.507912596,1.821521909,1.449845881,1.453862754,1.481471306,1.712990045,1.836091212
199804,01/04/1998,2.1,1.954709314,2.037209668,2.069378833,2.078680344,1.759721142,1.846716965,1.839339669,2.075859351,1.841358238,1.724031254,1.724792583,1.842274515,2.126662672
199805,01/05/1998,2.2,2.172820137,2.146833738,2.383344811,2.104493124,1.992424122,2.394342911,1.863558489,2.076617443,2.029062615,2.064341979,1.882643199,2.098017938,2.488115569
199806,01/06/1998,1.9,1.825656741,2.064394228,1.943131986,1.727716615,1.520555463,1.679837342,1.628064376,1.777639352,1.701427833,1.639511702,1.537707321,1.776458734,2.376896136
199807,01/07/1998,1.7,1.499552983,1.788858253,1.681128347,1.518899298,1.172817839,1.24355372,1.382338289,1.525620684,1.426789744,1.223158154,1.175934449,1.202653279,1.579089141
199808,01/08/1998,1.6,1.36589981,1.682582157,1.456442658,1.316729312,1.243019354,1.31571128,1.160602153,1.434648218,1.36137378,1.201407765,1.084275929,0.983004009,1.175528798
199809,01/09/1998,1.7,1.15960739,1.398075154,1.181729016,1.170286316,1.051767777,1.237009368,0.885051287,1.242999868,1.099048937,0.927221336,0.902190401,0.877573571,0.897785122
199810,01/10/1998,1.6,1.186490707,1.51148328,1.234167525,1.186744311,1.063263756,1.201790309,0.924632755,1.211484611,1.140830871,0.813384497,0.651431323,0.987999609,0.664992929
199811,01/11/1998,1.7,1.044161644,1.320273713,1.08161168,0.984805727,1.0479978,1.250464771,1.137647921,1.105539937,1.05455506,0.779251144,0.535778023,0.618006651,0.647596997
199812,01/12/1998,1.9,1.168743907,1.439309876,1.35537056,1.084763299,1.369925957,1.255458651,1.410766106,1.329393649,1.315224319,0.772483169,0.53351576,0.304589903,0.646377604
199901,01/01/1999,2,1.520536172,1.598477393,1.706827847,1.61223535,1.36775393,1.379165277,1.406392517,1.663216562,1.65732216,1.65159671,0.912207036,0.851135434,1.797117734
199902,01/02/1999,1.9,1.198669179,1.56995559,1.271103845,1.121630014,1.452918932,1.162947774,1.374897224,1.247141147,1.584774115,1.4446626,0.474289392,0.582819922,0.923182854
199903,01/03/1999,2.1,1.697456448,2.002061162,1.863979969,1.870727254,2.153473987,1.819689447,1.717857035,1.598411821,2.118563337,1.757558692,0.988356269,1.11176803,0.907442113
199904,01/04/1999,2,1.43595804,1.577590119,1.479958264,1.642204639,1.283112659,1.566946751,1.577576137,1.595958104,1.673599032,1.693478963,0.809113798,1.020116742,0.816240685
199905,01/05/1999,1.7,1.208538603,1.391679724,1.267600195,1.493043141,1.084585513,1.330351307,1.39646301,1.252760907,1.313492151,1.458945977,0.61724827,0.810323584,0.546408701
199906,01/06/1999,1.8,1.326482888,1.299563802,1.411054115,1.587714616,1.513737855,1.67355729,1.374269932,1.218825571,1.535298395,1.565142989,0.805398035,1.068099187,0.594958425
199907,01/07/1999,1.7,1.323831049,1.505836453,1.482880107,1.395546332,1.195463749,1.463073159,1.290940408,1.161339497,1.410393145,1.731140232,0.820679449,1.238500389,1.100785487
199908,01/08/1999,1.6,1.355311902,1.699593824,1.459113096,1.368729375,1.207696077,1.313843003,1.33069455,1.221940954,1.628687934,1.908855443,0.644080867,1.145756432,1.591103677
199909,01/09/1999,1.6,1.388717387,1.5994732,1.579425967,1.452862837,1.477222741,1.474817239,1.32613767,1.337971613,1.665216088,1.865643505,0.685677976,1.192266498,1.449473707
199910,01/10/1999,1.5,1.276617418,1.576283234,1.609769737,1.495530604,1.148923266,1.408602591,1.021482998,1.203517206,1.528230034,1.558036448,0.621155197,1.005171542,1.504764661
199911,01/11/1999,1.5,1.298665381,1.572604214,1.526827073,1.622854103,1.072941033,1.535454581,1.116011275,1.258921876,1.704723947,1.687702723,0.874782256,1.077480815,1.611653767
199912,01/12/1999,1.5,1.296198859,1.610725812,1.440235669,1.394458965,1.111364741,1.675323863,1.090147031,1.228039208,1.520448227,1.7825387,1.309969194,1.324179421,1.19909435
200001,01/01/2000,1.2,0.627729899,1.175793528,0.88940532,0.808904199,0.322757362,1.24339406,0.494073402,0.432568796,0.833396629,0.542024366,0.425932957,0.408456878,0.224208698
200002,01/02/2000,1.2,0.974699125,1.45108526,1.292615264,1.191161478,0.352590023,1.295061533,0.488041427,0.292365488,0.70995039,0.197941625,0.597326812,0.639418479,0.743761498
200003,01/03/2000,1,0.526739635,1.222826176,0.664323794,0.45719477,-0.411480005,0.876795656,0.256672545,0.059532728,0.333296675,0.150621554,0.164374986,0.030894128,0.696257184
